id,severity,confidence,module,file:line,evidence,rule,impact,reproduction,recommended_fix,acceptance_criteria,tests_required,status
AUDIT-S2-007,S2,confirmed,core/trading-calendar,src/core/trading_calendar.rs:204,"TradingCalendar uses host-local time for A-share session decisions and unwraps local datetime construction","Phase 2 boundary unwrap review","Host timezone can shift trading-session classification; local datetime unwrap can panic on timezone gaps or ambiguity","Manual review; caller search shows collect scheduler uses get_current_status at src/tasks/collect_scheduler.rs:153","Use an explicit China market timezone and avoid unwrap on local datetime construction","Trading status is host-timezone independent and production calendar paths do not unwrap local datetime construction","Add trading-calendar timezone/session tests; cargo test --lib core::trading_calendar",fixed
AUDIT-S3-004,S3,confirmed,execution/qmt-bridge,src/execution/qmt_bridge.rs:67,"QmtBridgePreviewAdapter previously discarded response.broker_payload from QMT preview responses","Phase 2 discarded-result review; broker preview metadata should remain auditable","QMT preview output now preserves broker-side payload details for audit and operator diagnosis","Manual review; tests/qmt_bridge_preview_test.rs covers broker_payload preservation and the CLI preview output now includes it","Carry broker_payload into response metadata or include it in CLI preview output with documented redaction policy","Preview response preserves or explicitly redacts broker payload and tests cover the chosen behavior","cargo test --test qmt_bridge_preview_test; cargo test --test qmt_bridge_preview_test qmt_bridge_preview_adapter_uses_frozen_snapshot_payload",fixed
AUDIT-S3-005,S3,confirmed,execution/qmt-live,src/execution/qmt_live_adapter.rs:90,"QmtLiveExecutionAdapter::with_polling previously panicked on invalid polling configuration via expect","Phase 2 boundary expect review","Public configurable constructor now returns BridgeError for zero poll interval or timeout instead of panicking","Manual review; QmtTaskSubmitService::new validates poll_interval_ms and poll_timeout_ms at src/execution/qmt_task_submit_service.rs:51; regression tests cover both invalid values","Return Result<Self> from configurable constructors or clamp/validate polling values before construction","Invalid polling configuration returns a typed error and no production constructor panics","cargo test --test qmt_live_adapter_test qmt_live_adapter_with_polling_rejects_zero_poll_interval; cargo test --test qmt_live_adapter_test",fixed
AUDIT-S3-006,S3,confirmed,io/batch,src/io/batch.rs:124,"BatchProcessor::new now rejects zero batch_size and zero max_concurrent_tasks with typed QuantixError values","Phase 2 public API boundary review","batch_size=0 can no longer panic in div_ceil/chunks paths through a constructed BatchProcessor; max_concurrent_tasks=0 can no longer create a zero-permit batch_import semaphore through the public constructor","Manual review; GitNexus reports no current incoming calls for batch_import, so observed blast radius is low but API risk remains; regression tests cover both invalid config fields","Validate BatchConfig in BatchProcessor::new or expose a fallible constructor that rejects zero batch size and zero concurrency","Invalid batch config is rejected with a typed error and tests cover zero batch_size and zero max_concurrent_tasks","cargo test --lib io::batch; cargo test --benches --no-run",fixed
AUDIT-S2-008,S2,confirmed,cli/data,src/cli/handlers/data_handler.rs:378,"data export defaults to parquet but parquet branch does not write a file and still prints success","Phase 2 TODO/user-facing command review","Default data export could report success without producing the requested parquet output, misleading operators and downstream automation","Manual review; src/cli/commands/data.rs:46 sets default format=parquet while data_handler.rs previously had a TODO-only parquet branch","Implemented parquet export through DataExporter/ExportFormat::Parquet and shared the CSV/parquet file-writing path behind export_klines_to_file","Parquet export creates a non-empty parquet file and existing CSV/data CLI parser tests continue to pass","cargo test --lib cli::handlers::data_handler; cargo test --lib cli::tests::data; cargo test --lib io::exporter",fixed
AUDIT-S3-007,S3,confirmed,cli/news,src/cli/handlers/news.rs:44,"news search now builds configured providers and calls NewsAggregator::search instead of returning placeholder success","Phase 2 TODO/user-facing command review","news search/code no longer report successful placeholder output; they either execute the configured Tavily/SerpAPI/Bocha provider path or return a typed configuration error when no provider is configured","Manual review; NewsAggregator::search exists in src/news/aggregator.rs and run_news_search now delegates to it through a provider-from-env builder","Wire CLI handler to NewsAggregator providers or return an explicit Unsupported error until implemented","News search either returns real provider results or exits with unsupported status; tests cover configured-key placeholder path","cargo test --lib cli::handlers::news::tests; cargo test --all-targets; cargo clippy --all-targets --all-features",fixed
AUDIT-S3-008,S3,confirmed,market/sentiment,src/market/sentiment/aggregator.rs:77,"SentimentAggregator no longer hardcodes trend to Stable; no-provider output is explicitly unavailable and provider history can derive trend","Phase 2 TODO/user-facing command review","Sentiment output no longer reports a neutral/stable trend when no trend is calculated; current CLI sentiment handlers still construct an empty provider list, so the user-facing trend field now reflects unavailable data instead of a false direction","Manual review; regression tests cover no-provider aggregation, provider-history trend derivation, and CLI trend formatting for unavailable vs stable","Compute trend from historical/provider data or omit/mark trend as unavailable until calculated; wire CLI sentiment handlers to configured providers","Sentiment trend is either data-derived or explicitly unavailable; tests cover no-provider and provider-backed command behavior","cargo test --lib market::sentiment::aggregator::tests; cargo test --lib sentiment::tests; cargo test --all-targets; cargo clippy --all-targets --all-features",fixed
AUDIT-S3-009,S3,confirmed,cli/tui,src/cli/handlers/app_shell.rs:244,"menu --tui is advertised as enabling a TUI interface but run_tui_menu only prints a development-in-progress message and returns success","Phase 2 TODO/user-facing command review","Automation or operators can receive a zero exit status for an unimplemented TUI path; the command contract is weaker than the CLI help text implies","Manual review; src/cli/commands/mod.rs:67 documents interactive menu and --tui, and Commands::Menu dispatches tui=true to run_tui_menu","Implement the TUI path or return an explicit unsupported/not-implemented error until it exists","menu --tui either launches an interactive TUI or exits non-zero with a clear unsupported status; tests cover the current placeholder path","Add CLI handler test for menu --tui behavior once command dispatch is testable",open
AUDIT-S2-010,S2,confirmed,tooling/fmt,src/factor/scoring.rs:1,cargo fmt --check exits 1 and reports import wrapping diff in src/factor/scoring.rs:1,"Phase 1 gate baseline; formatting gate must be green for release confidence","Repository cannot claim fmt gate closure; generated or in-progress factor work needs formatting",cargo fmt --check,Apply rustfmt to src/factor/scoring.rs without unrelated changes,cargo fmt --check exits 0,cargo fmt --check,deferred
AUDIT-S2-011,S2,confirmed,factor,tests/factor_pipeline_test.rs:454,cargo test --all-targets exits 101 because factor_score_cli_writes_csv_output assertion does not find expected CSV row,"Phase 1 gate baseline; factor score CSV output is user-facing CLI output","Factor score CLI CSV output contract is not verified in current tree; all-target test gate cannot close",cargo test --test factor_pipeline_test factor_score_cli_writes_csv_output,Align factor score ordering/output or update the test expectation with evidence,Targeted test and cargo test --all-targets pass,"cargo test --test factor_pipeline_test factor_score_cli_writes_csv_output; cargo test --all-targets",deferred
AUDIT-S3-010,S3,needs-repro,build,Cargo.toml:1,cargo build --release started but release linking exceeded the audit tool window and was terminated after extended monitoring,"Phase 1 full release gate; methodology permits release build to be delayed when environment cost is high","Release build closure remains unknown; debug tests cannot substitute for release build readiness",cargo build --release in a long-running terminal outside the MCP command window,Re-run release build with an explicit time budget and capture exit status,Release build exits 0 or a concrete compiler/linker error is captured,cargo build --release,needs-repro
